PeakPosition,Year,WeeksOnChart,Artists,Name,cluster
6,2018,29,"Lil Baby, Drake",Yes Indeed,4
7,2006,20,Rascal Flatts,Life Is A Highway,4
7,2002,20,Kylie Minogue,Can't Get You Out Of My Head,4
7,2008,25,Sean Kingston,Take You There,4
7,2012,44,Alex Clare,Too Close,2
7,2003,20,Ashanti,Rain On Me,2
7,2002,18,Brandy,What About Us?,0
7,2018,48,5 Seconds Of Summer,Youngblood,0
7,2011,27,Jason Aldean,Dirt Road Anthem,1
7,2008,20,Snoop Dogg,Sensual Seduction,4
7,2016,45,Rihanna,Needed Me,3
7,2007,26,Rihanna,Hate That I Love You,4
7,2005,27,Gwen Stefani,Rich Girl,4
7,2008,19,Yael Naim,New Soul,3
7,2016,20,J. Cole,Deja Vu,2
7,1999,24,Donell Jones,U Know What's Up,4
7,2002,20,Alicia Keys,A Woman's Worth,3
7,2003,33,Baby Bash,Suga Suga,3
7,2017,31,"Zedd, Alessia Cara",Stay,4
7,2004,50,Nickelback,Someday,0
7,2006,20,Jibbs,Chain Hang Low,1
7,2011,30,Hot Chelle Rae,Tonight Tonight,4
7,2007,19,Akon,"Sorry, Blame It On Me",0
7,2007,21,Kanye West,Good Life,1
7,2007,20,Hurricane Chris,A Bay Bay,4
7,2018,20,Lil Wayne,Uproar,1
7,2012,20,Taylor Swift,Begin Again,2
7,2017,34,Lil Uzi Vert,XO TOUR Llif3,0
7,2009,39,The Fray,You Found Me,0
7,2014,22,"Ariana Grande, The Weeknd",Love Me Harder,1
7,2009,21,Mariah Carey,Obsessed,2
7,2005,20,Madonna,Hung Up,2
7,2002,39,Sean Paul,Gimme The Light,1
7,2013,20,Eminem,Rap God,4
7,2009,41,Shinedown,Second Chance,1
7,1999,32,Sugar Ray,Someday,1
7,2000,57,Creed,Higher,1
7,2005,20,David Banner,Play,1
7,2008,18,Christina Aguilera,Keeps Gettin' Better,0
7,2014,33,Disclosure,Latch,1
7,2005,37,Kelly Clarkson,Because Of You,3
7,2014,26,Calvin Harris,Summer,1
7,2012,25,Tyga,Rack City,3
7,2003,29,Dixie Chicks,Landslide,3
7,2000,21,Next,Wifey,4
7,2003,25,Tyrese,How You Gonna Act Like That,1
7,2019,13,DaBaby,Suge,1
7,2005,22,Pretty Ricky,Grind With Me,1
7,2016,20,Selena Gomez,Hands To Myself,2
7,2005,28,Will Smith,Switch,1
7,2000,32,P!nk,There You Go,4
7,2012,34,Drake,Take Care,1
7,2015,32,Nick Jonas,Jealous,2
7,2007,23,Keyshia Cole,Let It Go,4
7,2004,20,Kanye West,All Falls Down,2
7,2004,32,Evanescence,My Immortal,3
7,2018,16,Drake,I'm Upset,2
7,2013,25,Maroon 5,Daylight,1
7,2002,20,Dixie Chicks,Long Time Gone,1
7,2011,20,Britney Spears,I Wanna Go,4
7,2001,20,Aerosmith,Jaded,4
7,2007,23,Linkin Park,What I've Done,0
8,2012,44,Jason Mraz,I Won't Give Up,3
8,2014,22,Justin Timberlake,Not A Bad Thing,3
8,2001,28,City High,What Would You Do?,4
8,2004,27,Akon,Locked Up,2
8,2001,27,Ja Rule,Put It On Me,0
8,1999,20,Jennifer Lopez,Waiting For Tonight,4
